Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,LapTimeSeconds,Year,Track,Session,AirTempC,TrackTempC,Rainfall,TyreAgeLaps,SessionProgress,LapTimeFormatted
PER,Red Bull Racing,14.0,0 days 00:01:20.062000,SOFT,5.0,1,True,80.062,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:20.062
PIA,McLaren,2.0,0 days 00:01:50.311000,SOFT,1.0,1,True,110.311,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:50.311
PIA,McLaren,3.0,0 days 00:01:20.488000,SOFT,1.0,1,True,80.488,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,1,Early,1:20.488
PIA,McLaren,6.0,0 days 00:01:20.076000,SOFT,2.0,12,True,80.076,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.076
PIA,McLaren,9.0,0 days 00:01:19.808000,SOFT,3.0,1,True,79.808,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.808
PIA,McLaren,12.0,0 days 00:01:19.845000,SOFT,4.0,1,True,79.845,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.845
PIA,McLaren,15.0,0 days 00:01:19.436000,SOFT,5.0,1,True,79.436,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.436
PIA,McLaren,18.0,0 days 00:01:19.661000,SOFT,6.0,1,True,79.661,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.661
RIC,RB,2.0,0 days 00:01:21.059000,SOFT,1.0,1,True,81.059,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.059
RIC,RB,5.0,0 days 00:01:20.901000,SOFT,2.0,12,True,80.901,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.901
RIC,RB,8.0,0 days 00:01:21.273000,SOFT,3.0,1,True,81.273,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:21.273
RIC,RB,11.0,0 days 00:01:20.479000,SOFT,4.0,1,True,80.479,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.479
RUS,Mercedes,2.0,0 days 00:01:20.320000,SOFT,1.0,1,True,80.32,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.320
RUS,Mercedes,5.0,0 days 00:01:20.169000,SOFT,2.0,12,True,80.169,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.169
RUS,Mercedes,8.0,0 days 00:01:19.877000,SOFT,3.0,1,True,79.877,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.877
RUS,Mercedes,11.0,0 days 00:01:20.107000,SOFT,4.0,1,True,80.107,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.107
RUS,Mercedes,14.0,0 days 00:01:19.569000,SOFT,5.0,1,True,79.569,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.569
