Driver,Team,LapNumber,LapTime,Compound,Stint,TrackStatus,IsAccurate,LapTimeSeconds,Year,Track,Session,AirTempC,TrackTempC,Rainfall,TyreAgeLaps,SessionProgress,LapTimeFormatted,FuelKg,EstimatedCarWeightKg,CompoundEffect,Intensity,TyreAgeEffect,EstimatedTyreTempC
PIA,McLaren,18.0,0 days 00:01:19.661000,SOFT,6.0,1,True,79.661,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.661,10.0,808.0,8,0.8142172926644897,0.0,61.61568350282238
RIC,RB,2.0,0 days 00:01:21.059000,SOFT,1.0,1,True,81.059,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:21.059,10.0,808.0,8,-0.5954121502394695,0.0,53.15790684539862
RIC,RB,5.0,0 days 00:01:20.901000,SOFT,2.0,12,True,80.901,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.901,10.0,808.0,8,-0.4360978069069746,0.0,54.113792905393595
RIC,RB,8.0,0 days 00:01:21.273000,SOFT,3.0,1,True,81.273,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:21.273,10.0,808.0,8,-0.8111923367784153,0.0,51.86322572616495
RIC,RB,11.0,0 days 00:01:20.479000,SOFT,4.0,1,True,80.479,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.479,10.0,808.0,8,-0.01058734560120326,0.0,56.66685567322822
RUS,Mercedes,2.0,0 days 00:01:20.320000,SOFT,1.0,1,True,80.32,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.320,10.0,808.0,8,0.14973531635998316,0.0,57.62879164499534
RUS,Mercedes,5.0,0 days 00:01:20.169000,SOFT,2.0,12,True,80.169,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Early,1:20.169,10.0,808.0,8,0.3019914292916664,0.0,58.54232832258544
RUS,Mercedes,8.0,0 days 00:01:19.877000,SOFT,3.0,1,True,79.877,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:19.877,10.0,808.0,8,0.5964204688681753,0.0,60.308902560044494
RUS,Mercedes,11.0,0 days 00:01:20.107000,SOFT,4.0,1,True,80.107,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Mid,1:20.107,10.0,808.0,8,0.3645071842702375,0.0,58.917422852456866
RUS,Mercedes,14.0,0 days 00:01:19.569000,SOFT,5.0,1,True,79.569,2024,Monza,Q,33.44556962025317,48.73037974683544,0.0,0,Late,1:19.569,10.0,808.0,8,0.906982606503662,0.0,62.17227538585741
